 112 - 2024-07-18 12:58:03,272 - root - ERROR - Not found IP: 3.211.175.233 after 3 attempts 
 57 - 2024-07-18 12:58:03,272 - root - INFO - Attempting to fetch data from URL:- http://44.242.82.182/ipdiversity.html 
 57 - 2024-07-18 12:58:04,671 - root - INFO - Attempting to fetch data from URL:- http://34.212.42.146/ipdiversity.html 
 57 - 2024-07-18 12:58:05,959 - root - INFO - Attempting to fetch data from URL:- http://44.233.203.156/ipdiversity.html 
 57 - 2024-07-18 12:58:07,619 - root - INFO - Attempting to fetch data from URL:- http://54.218.119.145/ipdiversity.html 
 94 - 2024-07-18 12:58:08,098 - root - WARNING - table data not found for 54.218.119.145 
 57 - 2024-07-18 12:58:08,098 - root - INFO - Attempting to fetch data from URL:- http://52.14.86.120/ipdiversity.html 
 57 - 2024-07-18 12:58:09,331 - root - INFO - Attempting to fetch data from URL:- http://3.20.146.1/ipdiversity.html 
 94 - 2024-07-18 12:58:09,777 - root - WARNING - table data not found for 3.20.146.1 
 57 - 2024-07-18 12:58:09,777 - root - INFO - Attempting to fetch data from URL:- http://52.11.164.98/ipdiversity.html 
 94 - 2024-07-18 12:58:10,256 - root - WARNING - table data not found for 52.11.164.98 
 57 - 2024-07-18 12:58:10,256 - root - INFO - Attempting to fetch data from URL:- http://34.211.87.242/ipdiversity.html 
 57 - 2024-07-18 12:58:11,874 - root - INFO - Attempting to fetch data from URL:- http://3.229.106.200/ipdiversity.html 
 57 - 2024-07-18 12:58:13,028 - root - INFO - Attempting to fetch data from URL:- http://3.130.105.216/ipdiversity.html 
 57 - 2024-07-18 12:58:14,301 - root - INFO - Attempting to fetch data from URL:- http://44.238.67.212/ipdiversity.html 
 57 - 2024-07-18 12:58:16,021 - root - INFO - Attempting to fetch data from URL:- http://44.230.226.22/ipdiversity.html 
 57 - 2024-07-18 12:58:17,306 - root - INFO - Attempting to fetch data from URL:- http://3.140.133.135/ipdiversity.html 
 57 - 2024-07-18 12:58:18,575 - root - INFO - Attempting to fetch data from URL:- http://54.71.125.20/ipdiversity.html 
 57 - 2024-07-18 12:58:19,918 - root - INFO - Attempting to fetch data from URL:- http://54.196.146.219/ipdiversity.html 
 57 - 2024-07-18 12:58:22,780 - root - INFO - Attempting to fetch data from URL:- http://3.15.93.201/ipdiversity.html 
